,Company,Year,SECTOR,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,profit,ESG_Exposure,ESG_Managed,ESG_Class,BVE,ESG_Index
478,NDAQ,2022,4,Financials,53.36373519897461,48.84709930419922,2.28,6151000,492400,1125000,32.05,20.098,3.0,12.491876523151909,-1.2508322024663805
479,NDAQ,2023,4,Financials,62.61275482177734,60.01570129394531,2.1,10816000,504909,1059000,36.288,23.318,3.0,21.42168192684226,-0.8435331590279218
480,NEM,2020,8,Materials,52.90926361083984,56.1834716796875,3.52,23008000,804000,2829000,69.475,45.874,5.0,28.616915422885572,2.835185023025736
481,NEM,2021,8,Materials,72.33808898925781,54.71643829345703,1.46,22022000,799000,1166000,66.888,42.963,5.0,27.561952440550687,2.524735609088995
482,NEM,2022,8,Materials,46.46583938598633,40.82142639160156,-0.54,19354000,794000,-429000,65.312,43.513,5.0,24.375314861460957,2.4875388242546808
483,NEM,2023,8,Materials,35.34725570678711,41.6201171875,-2.97,29027000,841000,-2494000,65.4,44.702,4.833,34.51486325802616,2.514003392401364
484,NFLX,2020,1,Communication Services,521.6599731445312,528.2100219726562,6.26,11065240,440922,2761395,23.1,5.112,3.0,25.095685858269718,-2.6462688805537145
485,NFLX,2021,1,Communication Services,374.5899963378906,174.8699951171875,11.55,15849248,443155,5116228,23.1,5.911,3.0,35.76456995859237,-2.5940212103591023
486,NFLX,2022,1,Communication Services,345.4800109863281,440.489990234375,10.1,20777401,444698,4491924,24.067,7.826,3.0,46.72249706542418,-2.4239061669640902
487,NFLX,2023,1,Communication Services,607.3300170898438,674.8800048828125,12.25,20588313,441571,5407990,24.163,7.81,3.0,46.62514748477595,-2.420495858775413
488,NI,2020,10,Utilities,21.08087730407715,21.63059234619141,-0.19,5752200,384300,-72700,71.3,39.205,7.0,14.967993754879,3.146936154266795
489,NI,2021,10,Utilities,28.82059478759766,26.94275283813477,1.35,6947300,393600,529800,72.183,40.782,7.0,17.650660569105693,3.2910494309272487
490,NI,2022,10,Utilities,26.19659614562988,25.86181259155273,1.84,7575400,407100,749000,69.55,39.969,5.167,18.608204372390077,2.5079018407025893
491,NI,2023,10,Utilities,26.89336776733398,28.29606628417969,1.59,8269600,416100,661700,64.608,38.423,5.0,19.87406873347753,2.122015461250592
492,NOC,2020,6,Industrials,305.7069396972656,344.948974609375,19.08,10579000,167100,3189000,54.988,24.228,7.0,63.30939557151407,1.4103248307937448
493,NOC,2021,6,Industrials,429.9853820800781,461.961181640625,43.7,12926000,160300,7005000,55.117,24.986,6.667,80.63630692451653,1.355469717719001
494,NOC,2022,6,Industrials,450.4140319824219,446.2599792480469,31.61,15312000,154900,4896000,56.15,28.262,5.0,98.85087153001936,1.0649318537378163
495,NOC,2023,6,Industrials,474.5997619628906,434.0278625488281,13.57,14795000,151500,2056000,56.15,28.762,5.0,97.65676567656766,1.0976275171887624
496,NRG,2020,10,Utilities,33.18599319458008,35.72816848754883,2.08,1680000,245000,510000,65.346,26.438,8.5,6.857142857142857,2.533028421120878
497,NRG,2021,10,Utilities,34.86188125610352,34.99618530273438,8.93,3600000,245000,2187000,66.95,35.2,7.0,14.693877551020408,2.683105588221392
498,NRG,2022,10,Utilities,32.28974151611328,35.61012649536133,5.17,3828000,236000,1221000,66.717,34.982,7.0,16.220338983050848,2.6580338135958193
499,NRG,2023,10,Utilities,66.44558715820312,77.01016235351562,-1.12,2906000,228000,-256000,63.617,31.556,7.0,12.74561403508772,2.2900930734712457
500,NUE,2020,8,Materials,76.09793090820312,91.41415405273438,2.37,10788665,303168,717114,52.3,14.581,7.0,35.58642402892126,0.6547107564361697
501,NUE,2021,8,Materials,143.4443969726562,101.0895080566406,23.23,14016389,292491,6795150,53.354,16.807,7.0,47.92075311718993,0.849201268533737
502,NUE,2022,8,Materials,151.53515625,161.4135589599609,28.88,18414694,262348,7576165,52.012,19.188,7.0,70.19185966731212,0.9425988912158639
503,NUE,2023,8,Materials,196.6604766845703,157.5282440185547,18.05,20940634,249773,4507855,53.292,21.359,7.0,83.83866150464623,1.1439843875079772
504,NXPI,2020,7,Information Technology,189.668685913086,194.3753662109375,0.19,8944000,279763,52000,46.862,24.711,4.167,31.969917394365947,0.12536274439005404
505,NXPI,2021,7,Information Technology,176.2728271484375,141.6562194824219,6.91,6528000,270687,1871000,46.987,27.202,3.333,24.116414899865898,0.01753238592227963
506,NXPI,2022,7,Information Technology,181.2086029052734,200.0537567138672,10.64,7449000,261879,2787000,48.288,27.125,4.5,28.444434261624643,0.459826286467524
507,NXPI,2023,7,Information Technology,245.8231506347656,268.1257934570312,10.83,8644000,258381,2797000,51.25,30.612,4.0,33.45447227156796,0.6595684167959927
508,O,2020,9,Real Estate,51.73706436157227,54.99797058105469,1.15,10985483,343901,395486,27.1,9.005,3.0,31.94373671492668,-2.2060100524618202
509,O,2021,9,Real Estate,60.78053283691406,60.51562118530273,0.87,25052574,591262,359456,26.55,11.14,3.0,42.371358213448524,-2.091931998489919
510,O,2022,9,Real Estate,58.05981063842773,55.46866607666016,1.42,28713149,611766,869408,26.267,11.73,3.0,46.93485581088194,-2.0664887108845478
511,O,2023,9,Real Estate,52.30688858032227,51.81066513061523,1.26,32941467,692298,872309,26.908,11.433,3.0,47.58278515899222,-2.0561530495822415
512,OKE,2020,3,Energy,40.25728225708008,45.21869277954102,1.42,6042398,431105,611709,46.525,20.095,5.0,14.016070330893866,0.0840633800663835
513,OKE,2021,3,Energy,60.36814880371094,48.18515014648438,3.36,6015163,446400,1499000,45.562,20.38,5.0,13.474827508960573,0.05799494624799708
514,OKE,2022,3,Energy,57.73117828369141,56.85840606689453,3.85,6494000,447500,1721000,46.229,22.04,5.0,14.511731843575419,0.19750842184831477
515,OKE,2023,3,Energy,77.15449523925781,79.60135650634766,5.49,16484000,484300,2658000,51.842,26.295,5.0,34.0367540780508,0.7363185610393291
516,OMC,2020,1,Communication Services,65.54810333251953,71.35704040527344,4.38,3084400,215600,951200,26.0,8.014,3.0,14.306122448979592,-2.321877715348873
517,OMC,2021,1,Communication Services,77.84371948242188,58.88735580444336,6.57,3270200,214300,1395600,26.496,8.241,3.0,15.259916005599626,-2.284008275476753
518,OMC,2022,1,Communication Services,89.93087005615234,91.41353607177734,6.4,3252100,205600,1299400,26.817,8.882,3.0,15.81760700389105,-2.227190780937498
519,OMC,2023,1,Communication Services,95.2917022705078,89.01068115234375,6.98,3616300,199341,1303300,26.65,10.368,3.0,18.141275502781667,-2.1377718430466093
520,ON,2020,7,Information Technology,41.61000061035156,38.27999877929688,0.57,3538500,410700,234200,50.2,25.039,5.0,8.615777940102264,0.5779611483445619
521,ON,2021,7,Information Technology,62.61000061035156,50.31000137329102,2.37,4585400,425700,1009600,53.083,27.221,5.0,10.77143528306319,0.8544813740120734
522,ON,2022,7,Information Technology,82.31999969482422,94.58000183105467,4.39,6188500,433200,1902200,54.5,28.145,5.0,14.285549399815327,0.9806837815993784
523,ON,2023,7,Information Technology,73.55000305175781,68.55000305175781,5.07,7782600,430700,2183700,54.2,30.361,5.0,18.069654051544,1.11166418257926
524,OTIS,2020,6,Industrials,65.15345001220703,78.07103729248047,2.09,-3862000,433200,906000,46.65,16.297,5.667,-8.915050784856879,0.06266201562846263
525,OTIS,2021,6,Industrials,74.1011734008789,68.26139068603516,2.91,-3625000,427700,1246000,46.092,17.629,5.0,-8.475566986205283,-0.0972926170577837
526,OTIS,2022,6,Industrials,82.45279693603516,87.25566101074219,2.98,-4870000,420000,1253000,44.25,22.62,5.0,-11.595238095238095,0.1435650697804286
527,OTIS,2023,6,Industrials,98.50187683105467,95.8740463256836,3.42,-4924000,411400,1406000,43.838,26.252,3.167,-11.968886728245018,-0.2458134819503341
528,OXY,2020,3,Energy,25.86200714111328,30.38980484008789,-17.06,18573000,918700,-15675000,71.125,29.344,8.667,20.21661042777838,3.046702719782296
529,OXY,2021,3,Energy,55.20186614990234,57.42057037353516,1.62,20327000,935000,1512000,72.5,35.097,7.0,21.740106951871656,2.93401570109267
530,OXY,2022,3,Energy,61.24539947509766,57.85182952880859,13.41,30085000,926200,12421000,74.425,31.162,9.0,32.482185273159146,3.4291889798950725
531,OXY,2023,3,Energy,64.51644134521484,62.79687118530273,4.22,30250000,889200,3750000,78.075,36.03,9.0,34.01934322986955,3.9169564423758145
532,PARA,2020,1,Communication Services,41.08079147338867,41.28672790527344,3.93,15371000,616000,2422000,25.713,7.511,3.0,24.95292207792208,-2.3680928384397326
533,PARA,2021,1,Communication Services,35.21978759765625,23.15966606140137,7.02,22402000,641000,4543000,24.5,8.268,3.0,34.94851794071763,-2.3749022154893527
534,PARA,2022,1,Communication Services,21.62353324890137,15.60803604125977,1.61,23036000,649000,1104000,24.875,9.322,3.0,35.494607087827426,-2.288571282641368
535,PARA,2023,1,Communication Services,11.66199588775635,10.33891868591309,-1.02,22526000,652000,-608000,24.854,9.764,3.0,34.54907975460123,-2.260643190711162
536,PAYC,2020,6,Industrials,366.74853515625,360.217529296875,2.49,655643,57620,143453,28.45,9.502,3.0,11.378740020826102,-2.1108400555353755
537,PAYC,2021,6,Industrials,343.2804870605469,277.6133422851562,3.39,893714,57885,195960,29.425,10.894,3.0,15.43947482076531,-1.9745532953251272
538,PAYC,2022,6,Industrials,301.2896423339844,318.3654174804688,4.86,1182607,57928,281389,30.4,12.705,3.0,20.41511876812595,-1.8108675691429863
539,PAYC,2023,6,Industrials,198.1738739013672,142.7324981689453,5.91,1303036,57707,340788,30.4,12.68,3.0,22.580206907307605,-1.8125023523155337
540,PCG,2020,10,Utilities,11.68958950042725,10.15227317810059,-1.05,25476000,1257000,-1318000,77.85,34.71,9.0,20.2673031026253,3.8201948062892823
541,PCG,2021,10,Utilities,11.91918754577637,9.962604522705078,-0.05,20971000,1985000,-102000,72.604,31.504,8.833,10.564735516372796,3.3116463543529684
542,PCG,2022,10,Utilities,16.14181709289551,17.24987983703613,0.91,22823000,1987000,1800000,64.5,29.37,7.0,11.486160040261701,2.188138786999878
543,PCG,2023,10,Utilities,16.7401237487793,17.45001029968262,1.09,25040000,2064000,2242000,63.562,30.546,7.0,12.131782945736434,2.2214945904039705
544,PEG,2020,10,Utilities,53.32552719116211,53.39328384399414,3.76,15984000,504000,1905000,61.071,31.869,5.0,31.714285714285715,1.5292439752003348
545,PEG,2021,10,Utilities,64.09996795654297,58.41946411132812,-1.29,14438000,504000,-648000,59.546,30.288,5.0,28.646825396825395,1.3550658252419903
546,PEG,2022,10,Utilities,59.11127090454102,59.84054565429688,2.06,13729000,498000,1031000,57.237,28.629,5.0,27.568273092369477,1.1393918348625842
547,PEG,2023,10,Utilities,65.6292495727539,73.10596466064453,5.15,15477000,498000,2563000,59.167,32.253,5.0,31.07831325301205,1.465965617918356
548,PEP,2020,2,Consumer Staples,128.1223297119141,135.2808380126953,5.16,13454000,1380000,7120000,43.955,22.785,4.636,9.74927536231884,0.01997128619557961
549,PEP,2021,2,Consumer Staples,156.0387115478516,156.3893737792969,5.51,16043000,1383000,7618000,41.338,24.132,3.0,11.600144613159797,-0.5558704984454617
550,PEP,2022,2,Consumer Staples,174.4946746826172,178.4877166748047,6.47,17149000,1377000,8910000,42.083,26.063,3.0,12.453885257806826,-0.39501501060170646
551,PEP,2023,2,Consumer Staples,172.3257598876953,163.6396942138672,6.6,18503000,1374000,9074000,47.233,28.98,3.667,13.466521106259098,0.255959940638006
552,PFE,2020,5,Health Care,30.9153938293457,33.77910614013672,1.73,63238000,5555000,9159000,49.05,18.048,6.333,11.383978397839783,0.5093969725579804
553,PFE,2021,5,Health Care,45.90430068969727,46.84298706054688,3.92,77201000,5601000,21979000,47.183,21.668,5.333,13.783431530083913,0.3278802608664994
554,PFE,2022,5,Health Care,37.35213470458984,33.88858795166016,5.59,95661000,5608000,31372000,48.017,22.952,5.0,17.057952924393724,0.34014891741372466
555,PFE,2023,5,Health Care,26.55763053894043,27.18070983886719,0.38,89014000,5643000,2119000,47.275,23.98,4.5,15.774233563707249,0.20714447146986187
556,PGR,2020,4,Financials,88.44367980957031,95.28561401367188,9.71,17038600,584900,5677700,37.9,12.786,5.0,29.130791588305694,-0.7942767370075186
557,PGR,2021,4,Financials,112.5829849243164,114.9465637207031,5.69,18231600,584500,3324000,38.442,15.343,5.0,31.191787852865698,-0.6019100659406668
558,PGR,2022,4,Financials,141.7924041748047,131.2971496582031,1.19,15891000,584400,694600,38.225,17.246,5.0,27.191991786447637,-0.48754407463747423
559,PGR,2023,4,Financials,205.58984375,207.5127716064453,6.61,20277100,584900,3864800,39.879,19.598,4.5,34.667635493246706,-0.42274185867799796
560,PKG,2020,8,Materials,120.1470260620117,121.8575057983398,4.86,3246300,94856,457400,30.125,10.486,3.0,34.2234544994518,-1.9687371380201044
561,PKG,2021,8,Materials,143.4642028808594,127.2112274169922,8.87,3607200,94825,834700,30.575,15.571,3.0,38.040601107302926,-1.6153320715719144
562,PKG,2022,8,Materials,132.2467041015625,127.1087493896484,11.08,3667100,92942,1021900,30.475,15.088,3.0,39.455789632243764,-1.651558342277099
