Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
VMC-2023,Materials,271.9673767089844,248.2414855957031,7.02,"7,483,400","133,000","933,200",46.988,17.568,5.167
VRSN-2020,Information Technology,198.759994506836,227.6900024414062,7.08,"-1,390,198","115,058","814,888",33.85,10.471,5
VRSN-2021,Information Technology,222.4600067138672,167.3300018310547,7.01,"-1,260,500","112,015","784,800",33.85,11.667,5
VRSN-2022,Information Technology,211.3300018310547,225.9700012207031,6.24,"-1,562,200","107,900","673,800",34.9,13.31,5
VRSN-2023,Information Technology,189.509994506836,177.8000030517578,7.91,"-1,581,000","103,400","817,600",35.25,13.859,5
VST-2020,Utilities,16.05085182189941,16.97767639160156,1.30,"8,371,000","488,668","636,000",64.7,21.222,9
VST-2021,Utilities,21.79195976257324,21.58075523376465,-2.69,"8,291,000","482,215","-1,295,000",66.879,27.955,7.167
VST-2022,Utilities,23.19853401184082,25.57514190673828,-3.26,"4,902,000","422,447","-1,377,000",68.7,32.922,7
VST-2023,Utilities,69.23027801513672,85.75697326660156,3.82,"5,307,000","351,457","1,343,000",70.433,36.253,7
VTR-2020,Real Estate,46.90261077880859,50.62515640258789,1.18,"10,180,167","373,368","439,149",27.525,13.843,3
VTR-2021,Real Estate,56.12135696411133,47.07161331176758,0.13,"10,854,385","382,785","49,008",27.25,15.219,3
VTR-2022,Real Estate,40.88901901245117,45.04238510131836,-0.12,"10,152,968","399,549","-47,447",27.3,14.859,3
VTR-2023,Real Estate,42.712646484375,50.81000137329102,-0.10,"9,488,058","401,809","-40,973",29.967,17.01,3
VZ-2020,Communication Services,46.782470703125,45.55947113037109,4.30,"67,842,000","4,140,000","17,801,000",37.383,18.161,3.667
VZ-2021,Communication Services,42.83939743041992,43.19382476806641,5.32,"81,790,000","4,148,000","22,065,000",37.3,19.3,3
VZ-2022,Communication Services,34.49592208862305,33.50660705566406,5.06,"91,144,000","4,202,000","21,256,000",39.479,21.388,3
VZ-2023,Communication Services,39.95273971557617,39.92935562133789,2.76,"92,430,000","4,211,000","11,614,000",41.35,22.826,3
WAB-2020,Industrials,77.50624084472656,80.69725036621094,2.18,"10,123,000","189,900","413,000",44.095,14.212,5.364
WAB-2021,Industrials,94.68063354492188,80.941650390625,2.96,"10,201,000","187,700","558,000",43.85,11.588,7
WAB-2022,Industrials,100.1445617675781,108.8546524047852,3.46,"10,102,000","182,200","633,000",43.6,18.865,5.333
WAB-2023,Industrials,145.294189453125,157.8634948730469,4.54,"10,487,000","178,800","815,000",44,20.702,5
WEC-2020,Utilities,83.35799407958984,79.85563659667969,3.80,"10,500,100","315,400","1,199,900",60.3,27.602,7
WEC-2021,Utilities,91.57994842529295,93.07803344726562,4.12,"10,943,600","315,400","1,300,300",58.112,26.948,6.5
WEC-2022,Utilities,89.63709259033203,84.14686584472656,4.46,"11,407,300","315,400","1,408,100",51.55,24.07,5
WEC-2023,Utilities,80.4509506225586,77.69312286376953,4.22,"11,754,600","315,400","1,331,700",54.117,26.71,5
WELL-2020,Real Estate,64.46551513671875,75.46353912353516,2.36,"15,972,719","415,451","978,844",27.55,12.885,3
WELL-2021,Real Estate,89.29673767089844,77.04573822021484,0.79,"17,636,001","424,976","336,138",27.721,16.167,3
WELL-2022,Real Estate,68.67591857910156,78.12564086914062,0.31,"20,294,814","462,185","141,214",27.9,15.893,3
WELL-2023,Real Estate,92.26415252685548,103.6086883544922,0.66,"25,404,376","515,629","340,094",29.6,16.738,3
WRB-2020,Financials,30.99058723449707,30.66146850585937,1.89,"6,310,802","280,386","530,670",40.575,12.938,5
WRB-2021,Financials,42.19078063964844,43.31221771240234,3.69,"6,653,011","277,430","1,022,490",40.8,16.401,5
WRB-2022,Financials,39.98527908325195,38.57362747192383,4.99,"6,748,332","276,852","1,381,062",40.842,18.493,5
WRB-2023,Financials,58.42885971069336,51.98313903808594,5.10,"7,455,431","271,000","1,381,359",40.85,18.972,5
WST-2020,Health Care,279.3973083496094,356.2658386230469,4.68,"1,854,500","73,900","346,200",28.45,9.301,3
WST-2021,Health Care,408.0519104003906,300.5555419921875,8.89,"2,335,400","74,400","661,800",28.45,9.15,3
WST-2022,Health Care,345.0601196289062,381.1878662109375,7.87,"2,684,900","74,400","585,900",28.533,9.682,3
WST-2023,Health Care,395.0216674804688,328.9946899414062,7.98,"2,881,000","74,300","593,400",28.525,9.818,3
WY-2020,Real Estate,30.45541572570801,29.59599113464355,1.07,"8,731,000","746,931","797,000",37.9,18.644,3
WY-2021,Real Estate,33.50717544555664,30.47076606750488,3.48,"10,767,000","749,496","2,607,000",38.655,21.238,3
WY-2022,Real Estate,28.15187263488769,32.35020446777344,2.53,"10,749,000","741,904","1,880,000",38.929,21.414,3
WY-2023,Real Estate,35.31162261962891,28.19894981384277,1.15,"10,236,000","731,654","839,000",39.538,22.678,3
XEL-2020,Utilities,59.60015869140625,59.4759521484375,2.79,"14,575,000","527,000","1,473,000",67.833,38.529,5
XEL-2021,Utilities,66.49108123779297,65.64726257324219,2.96,"15,612,000","539,000","1,597,000",67.171,38.34,5
XEL-2022,Utilities,63.86454391479492,59.34652709960938,3.18,"16,675,000","547,000","1,736,000",57.25,33.594,5
XEL-2023,Utilities,52.64177703857422,52.87137985229492,3.21,"17,616,000","552,000","1,771,000",59.296,33.894,5
XOM-2020,Energy,48.07781219482422,55.24362182617188,-5.25,"157,150,000","4,274,286","-22,440,000",68.854,35.772,7
XOM-2021,Energy,75.49546813964844,79.15132141113281,5.39,"168,577,000","4,274,583","23,040,000",68.833,33.819,7
XOM-2022,Energy,104.2166748046875,102.7106094360352,13.26,"195,049,000","4,203,620","55,740,000",67.625,30.822,7
XOM-2023,Energy,114.2417297363281,114.1924819946289,8.89,"204,802,000","4,050,619","36,010,000",71.929,31.458,8.5
XYL-2020,Industrials,100.9679641723633,115.4827575683594,1.41,"2,968,000","180,100","254,000",46.55,28.975,3
XYL-2021,Industrials,82.62669372558594,76.0158920288086,2.37,"3,218,000","180,200","427,000",46.658,30.308,3
XYL-2022,Industrials,102.7862548828125,110.9026031494141,1.97,"3,494,000","180,200","355,000",46.963,31.024,3
XYL-2023,Industrials,128.5278472900391,135.2760620117188,2.81,"10,166,000","217,000","609,000",47.55,29.562,3
ZBH-2020,Health Care,151.3379211425781,152.2689514160156,-0.67,"12,194,200","207,000","-138,900",49.683,15.613,7
ZBH-2021,Health Care,125.3506698608398,103.1635437011719,1.93,"12,660,700","208,600","401,600",49.217,17.106,6.333
ZBH-2022,Health Care,127.6807327270508,144.1624755859375,1.10,"12,020,300","209,600","231,400",48.504,20.749,5
ZBH-2023,Health Care,131.4401397705078,108.2893142700195,4.91,"12,480,500","208,700","1,024,000",48.8,22.318,5
ZTS-2020,Health Care,152.9214019775391,181.2458953857422,3.44,"3,769,000","475,502","1,638,000",39.417,11.943,5
ZTS-2021,Health Care,184.1399536132812,168.1035308837891,4.29,"4,543,000","474,300","2,037,000",36.067,15.637,3.667
ZTS-2022,Health Care,163.7049713134766,169.7781372070312,4.51,"4,405,000","468,900","2,114,000",35.588,17.158,3
ZTS-2023,Health Care,167.9476013183594,172.4568786621094,5.08,"4,997,000","461,200","2,344,000",35.1,16.152,3
