Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
CVX-2021,Energy,148.0988311767578,133.0643463134766,8.15,"139,067,000","1,915,989","15,625,000",73.5,32.826,8.833
CVX-2022,Energy,153.7446136474609,149.5805969238281,18.36,"159,282,000","1,931,486","35,465,000",70.929,30.483,8
CVX-2023,Energy,154.4774780273438,154.8562774658203,11.41,"160,957,000","1,872,737","21,369,000",70.171,32.934,7
D-2020,Utilities,65.37915802001953,63.90065765380859,-0.50,"26,117,000","806,000","-466,000",68.291,35.443,7
D-2021,Utilities,75.68745422363281,71.68855285644531,4.06,"27,308,000","810,000","3,331,000",64.637,36.187,5
D-2022,Utilities,51.60552597045898,48.39327239990234,1.19,"27,659,000","835,000","1,228,000",60.383,34.423,5
D-2023,Utilities,47.90469360351562,48.38818740844727,2.29,"27,529,000","836,400","1,913,000",60.317,33.899,5
DD-2020,Materials,72.37274932861328,72.8076400756836,-4.01,"38,504,000","735,500","-2,951,000",58.15,25.669,7
DD-2021,Materials,70.0094223022461,53.11483764648438,2.17,"26,433,000","542,700","6,467,000",58.075,27.965,6.833
DD-2022,Materials,69.6406021118164,69.66433715820312,11.63,"26,569,000","498,500","5,868,000",56.371,27.467,5
DD-2023,Materials,75.89726257324219,80.11617279052734,0.94,"24,279,000","449,900","423,000",56.483,27.822,5
DHR-2020,Health Care,196.8545379638672,234.9319610595703,4.97,"39,766,000","706,200","3,510,000",46.35,13.63,7
DHR-2021,Health Care,257.3372497558594,222.6066436767578,8.77,"45,167,000","714,600","6,269,000",34.088,12.597,4
DHR-2022,Health Care,221.9545135498047,211.582534790039,9.80,"50,082,000","725,100","7,103,000",29.95,15.208,3
DHR-2023,Health Care,249.1810913085937,249.582046508789,6.44,"53,486,000","736,500","4,743,000",30.008,18.178,3
DLR-2020,Real Estate,123.8510665893555,133.4587097167969,1.01,"17,717,697","260,099","263,342",27.1,12.796,3
DLR-2021,Real Estate,128.5099029541016,118.729362487793,5.95,"18,004,568","282,475","1,681,498",27.392,13.857,3
DLR-2022,Real Estate,92.72447967529295,108.6517791748047,1.18,"17,583,334","286,334","336,960",27.45,14.532,3
DLR-2023,Real Estate,141.6556091308594,150.8113555908203,3.04,"19,117,534","298,603","908,114",27,14.405,3
DOC-2020,Real Estate,26.45598602294922,28.02607345581055,0.77,"6,733,723","530,555","411,147",25.4,14.929,3
DOC-2021,Real Estate,29.65793991088867,22.58671188354492,0.93,"6,515,470","538,930","502,271",25.4,14.672,3
DOC-2022,Real Estate,19.80221366882324,18.31855010986328,0.92,"6,654,701","538,809","497,792",25.55,15.543,1.5
DOC-2023,Real Estate,17.88823699951172,19.02456283569336,0.56,"6,350,446","547,006","304,284",27.25,16.221,1.667
DOV-2020,Industrials,130.7264709472656,144.1359558105469,4.74,"3,385,773","144,050","683,451",45.95,14.258,6.5
DOV-2021,Industrials,151.5416564941406,117.5550918579102,7.81,"4,189,528","143,923","1,123,818",45.387,17.846,5
DOV-2022,Industrials,148.9078674316406,145.1975708007812,7.47,"4,286,366","142,681","1,065,376",44.6,19.45,5
DOV-2023,Industrials,176.143310546875,179.9433135986328,7.56,"5,106,605","139,848","1,056,828",45.417,19.509,5
DOW-2020,Materials,53.88549423217773,53.92191696166992,1.64,"12,435,000","740,500","1,216,000",47.05,17.623,6.333
DOW-2021,Materials,56.12439727783203,46.00638198852539,8.44,"18,165,000","743,600","6,279,000",46.775,22.528,5
DOW-2022,Materials,50.73861312866211,49.899169921875,6.32,"20,718,000","721,000","4,558,000",49.35,24.53,5
